Country,Code,Year,Expected_Years_Schooling,Mean_Years_Schooling,GNI_Per_Capita,HDI
Afghanistan,AFG,2017,10.4,3.8,2085.48757053646,0.498
Albania,ALB,2017,14.8,10.0,12804.364911639,0.785
Algeria,DZA,2017,14.4,8.0,11558.6313872004,0.754
Angola,AGO,2017,11.8,5.1,6861.57573837968,0.581
Antigua and Barbuda,ATG,2017,13.2,9.2,18775.950783081,0.78
Argentina,ARG,2017,17.4,9.9,22996.5735194639,0.825
Armenia,ARM,2017,13.0,11.7,12543.2753521644,0.755
Australia,AUS,2017,22.9,12.9,47163.2452158858,0.939
Austria,AUT,2017,16.1,12.1,53662.0053472849,0.908
Azerbaijan,AZE,2017,12.7,10.7,13513.3972681154,0.757
Bahamas,BHS,2017,12.8,11.1,35250.2825477071,0.807
Bahrain,BHR,2017,16.0,9.4,45033.8305423578,0.846
Bangladesh,BGD,2017,11.4,5.8,4339.48984340524,0.608
Barbados,BRB,2017,15.3,10.6,15079.3691181985,0.8
Belarus,BLR,2017,15.5,12.3,17584.766223036,0.808
Belgium,BEL,2017,19.8,11.8,50897.9339835834,0.916
Belize,BLZ,2017,12.8,10.5,6709.03456049825,0.708
Benin,BEN,2017,12.6,3.6,3010.90285432277,0.515
Bhutan,BTN,2017,12.3,3.1,10174.7096059929,0.612
Bolivia,BOL,2017,14.0,8.9,8174.49297693522,0.693
Bosnia and Herzegovina,BIH,2017,14.2,9.7,13638.5455130225,0.768
Botswana,BWA,2017,12.6,9.3,15899.0379534142,0.717
Brazil,BRA,2017,15.4,7.8,14253.0750185968,0.759
Brunei,BRN,2017,14.5,9.1,64617.6381245087,0.853
Bulgaria,BGR,2017,14.8,11.8,20867.6996241686,0.813
Burkina Faso,BFA,2017,8.5,1.5,1967.63405157785,0.423
Burundi,BDI,2017,11.7,3.0,772.402288911951,0.417
Cambodia,KHM,2017,11.7,4.8,3684.4596675561,0.582
Cameroon,CMR,2017,12.2,6.3,3487.37711230464,0.556
Canada,CAN,2017,16.4,13.3,47702.6374889171,0.926
Cape Verde,CPV,2017,12.6,6.1,6413.99914080175,0.654
Central African Republic,CAF,2017,7.2,4.3,959.310089079237,0.367
Chad,TCD,2017,8.0,2.3,1566.26107179991,0.404
Chile,CHL,2017,16.4,10.3,23458.6444976379,0.843
China,CHN,2017,13.8,7.8,14333.1332032247,0.752
Colombia,COL,2017,14.4,8.3,13912.3643674335,0.747
Comoros,COM,2017,11.2,4.8,3049.0061794111,0.503
Congo,COG,2017,11.4,6.3,3646.9898164509,0.606
Costa Rica,CRI,2017,15.4,8.8,19283.5103550641,0.794
Cote d'Ivoire,CIV,2017,9.0,5.2,4686.90047279373,0.492
Croatia,HRV,2017,15.0,11.3,26406.9597473308,0.831
Cyprus,CYP,2017,14.6,12.1,36808.5896843168,0.869
Czechia,CZE,2017,16.9,12.7,36626.685577928,0.888
Democratic Republic of Congo,COD,2017,9.8,6.8,1029.88330790774,0.457
Denmark,DNK,2017,19.1,12.6,56568.415893611,0.929
Djibouti,DJI,2017,6.2,4.1,5103.05582423564,0.476
Dominica,DMA,2017,12.7,7.8,11343.5298260536,0.715
Dominican Republic,DOM,2017,13.7,7.8,15941.6714491569,0.736
Ecuador,ECU,2017,14.7,8.7,11359.6897538592,0.752
Egypt,EGY,2017,13.1,7.2,10801.026619985,0.696
El Salvador,SLV,2017,12.6,6.9,7984.42415545618,0.674
Equatorial Guinea,GNQ,2017,9.3,5.5,16604.2672061891,0.591
Estonia,EST,2017,16.1,12.7,33040.7065458556,0.871
Eswatini,SWZ,2017,11.2,6.5,7844.50654420045,0.588
Ethiopia,ETH,2017,8.5,2.7,2009.55774595725,0.463
Fiji,FJI,2017,15.3,10.8,12367.9382395826,0.741
Finland,FIN,2017,17.6,12.4,47593.8870144335,0.92
France,FRA,2017,16.4,11.5,45584.5708667693,0.901
Gabon,GAB,2017,12.8,8.2,14058.19504573,0.702
Gambia,GMB,2017,9.2,3.5,2033.67164435668,0.46
Georgia,GEO,2017,15.0,12.8,12924.218204329,0.78
Germany,DEU,2017,17.0,14.1,54209.1790815797,0.936
Ghana,GHA,2017,11.6,7.1,4863.97619944615,0.592
Greece,GRC,2017,17.3,10.8,28490.2019375396,0.87
Grenada,GRD,2017,16.9,8.7,14465.1975618895,0.772
Guatemala,GTM,2017,10.8,6.5,8147.87168406551,0.65
Guinea,GIN,2017,9.1,2.6,2405.94811851635,0.459
Guinea-Bissau,GNB,2017,10.5,3.0,1929.16684635154,0.455
Guyana,GUY,2017,11.4,8.4,11976.3856717108,0.654
Haiti,HTI,2017,9.3,5.3,2993.23090558171,0.498
Honduras,HND,2017,10.2,6.5,5221.81095467717,0.617
Hong Kong,HKG,2017,16.3,12.0,62449.7377352967,0.933
Hungary,HUN,2017,15.1,11.9,28310.4909252535,0.838
Iceland,ISL,2017,19.3,12.4,53923.221721701,0.935
India,IND,2017,12.3,6.4,6116.05965443855,0.64
Indonesia,IDN,2017,12.8,8.0,10589.1264474736,0.694
Iran,IRN,2017,14.9,9.8,14562.9246695984,0.798
Iraq,IRQ,2017,11.0,6.8,10638.0084136943,0.685
Ireland,IRL,2017,19.6,12.5,62635.8326045336,0.938
Israel,ISR,2017,15.9,13.0,38636.9652406855,0.903
Italy,ITA,2017,16.3,10.2,41808.5919660719,0.88
Jamaica,JAM,2017,13.1,9.8,9326.121897774,0.732
Japan,JPN,2017,15.2,12.8,42426.8839942362,0.909
Jordan,JOR,2017,13.1,10.4,9953.72785074543,0.735
Kazakhstan,KAZ,2017,15.1,11.8,22157.8711033087,0.8
Kenya,KEN,2017,12.1,6.5,3968.93319763812,0.59
Kiribati,KIR,2017,12.9,7.9,4277.81906702638,0.612
Kuwait,KWT,2017,13.6,7.3,58767.6553275057,0.803
Kyrgyzstan,KGZ,2017,13.4,10.9,4803.23230575795,0.672
Laos,LAO,2017,11.2,5.2,6874.76316840974,0.601
Latvia,LVA,2017,15.8,12.8,28578.2166145294,0.847
Lebanon,LBN,2017,12.5,8.7,15924.7064671327,0.757
Lesotho,LSO,2017,10.6,6.3,3031.40955475032,0.52
Liberia,LBR,2017,10.0,4.7,1375.91551498157,0.435
Libya,LBY,2017,13.4,7.3,13686.0225277095,0.706
